epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.741,1.36145,1.14195,1.2707,0.93257,0.59417,0.62571,0.38965,1.29317,0.75469,1.25697,0.00047489,0.00047489,0.00047489
2,292.657,1.32753,0.80869,1.27442,0.92519,0.55545,0.60611,0.37316,1.33235,0.80871,1.26527,0.000857052,0.000857052,0.000857052
3,425.759,1.29659,0.76459,1.26507,0.94121,0.58911,0.63164,0.40958,1.24746,0.67608,1.23301,0.0011449,0.0011449,0.0011449
4,582.93,1.26553,0.70964,1.24243,0.94144,0.59443,0.63561,0.41768,1.24316,0.6675,1.22995,0.00100459,0.00100459,0.00100459
5,724.035,1.23313,0.65968,1.22072,0.9528,0.60611,0.64505,0.43054,1.20222,0.60177,1.21782,0.000863116,0.000863116,0.000863116
6,878.167,1.20658,0.62581,1.20273,0.95609,0.61617,0.64977,0.44055,1.189,0.57484,1.19166,0.000721645,0.000721645,0.000721645
7,1016.5,1.1818,0.58811,1.18695,0.95501,0.62122,0.65628,0.45078,1.16387,0.53611,1.17163,0.000580174,0.000580174,0.000580174
8,1171.47,1.15737,0.55385,1.17121,0.96188,0.62043,0.65691,0.45101,1.15818,0.52669,1.16656,0.000438703,0.000438703,0.000438703
9,1310.82,1.1258,0.52633,1.15583,0.96407,0.62481,0.65978,0.45829,1.13623,0.50223,1.15944,0.000297232,0.000297232,0.000297232
10,1461.24,1.10224,0.49658,1.14019,0.96197,0.62773,0.6606,0.46317,1.1266,0.48094,1.15173,0.000155761,0.000155761,0.000155761
