epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.673,1.32488,1.14628,1.24909,0.95384,0.61554,0.65307,0.42048,1.24335,0.57965,1.181,0.00332323,0.00332323,0.00332323
2,301.916,1.21243,0.66118,1.11139,0.9587,0.61542,0.65672,0.44055,1.18933,0.58345,1.12736,0.00661263,0.00661263,0.00661263
3,430.572,1.23801,0.70299,1.12906,0.94517,0.59763,0.64598,0.42223,1.24665,0.77649,1.17776,0.00985803,0.00985803,0.00985803
4,572.618,1.24313,0.71268,1.1459,0.95449,0.60714,0.64647,0.42802,1.21829,0.63335,1.16825,0.009802,0.009802,0.009802
5,741.884,1.23292,0.69999,1.14973,0.95302,0.59184,0.64402,0.42319,1.23455,0.63343,1.17156,0.009736,0.009736,0.009736
6,900.336,1.22511,0.68151,1.14668,0.95586,0.61674,0.65151,0.43292,1.20551,0.58527,1.16276,0.00967,0.00967,0.00967
7,1028.73,1.20255,0.65779,1.13998,0.95849,0.61077,0.64975,0.43603,1.19943,0.58807,1.16261,0.009604,0.009604,0.009604
8,1163.48,1.19069,0.65278,1.13633,0.9565,0.61818,0.65255,0.43972,1.18398,0.56968,1.16071,0.009538,0.009538,0.009538
9,1307.82,1.17808,0.63809,1.12993,0.96207,0.61322,0.6543,0.44406,1.18668,0.56275,1.16611,0.009472,0.009472,0.009472
10,1455.37,1.1751,0.62563,1.13121,0.95746,0.61978,0.65636,0.44096,1.17595,0.55301,1.15265,0.009406,0.009406,0.009406
11,1586.94,1.16543,0.61403,1.12111,0.95662,0.62305,0.65742,0.44743,1.17644,0.54105,1.15717,0.00934,0.00934,0.00934
12,1724.82,1.15118,0.61194,1.11938,0.96114,0.62185,0.6578,0.45175,1.16532,0.52397,1.1517,0.009274,0.009274,0.009274
13,1857.92,1.15173,0.60379,1.12573,0.96289,0.62304,0.65597,0.4503,1.16216,0.52619,1.1609,0.009208,0.009208,0.009208
14,2000.12,1.13808,0.59103,1.10776,0.95733,0.62168,0.66034,0.4552,1.15424,0.52027,1.15214,0.009142,0.009142,0.009142
15,2141.33,1.13588,0.58065,1.10956,0.95665,0.62476,0.65899,0.45183,1.15865,0.51897,1.1457,0.009076,0.009076,0.009076
16,2281.09,1.1312,0.58197,1.10042,0.96663,0.62344,0.65785,0.45419,1.15619,0.51221,1.14146,0.00901,0.00901,0.00901
17,2411.55,1.11777,0.5713,1.09824,0.9603,0.62922,0.65949,0.45665,1.14706,0.5044,1.13944,0.008944,0.008944,0.008944
18,2566.77,1.11891,0.56532,1.10446,0.95687,0.62618,0.65914,0.45038,1.16152,0.51098,1.15096,0.008878,0.008878,0.008878
19,2728.14,1.11783,0.56584,1.10488,0.96921,0.62577,0.65907,0.45374,1.16006,0.50432,1.15914,0.008812,0.008812,0.008812
20,2894.8,1.09593,0.54344,1.09219,0.96514,0.62531,0.6632,0.46037,1.15117,0.49671,1.13669,0.008746,0.008746,0.008746
21,3057.95,1.08846,0.54505,1.08995,0.96332,0.62663,0.6678,0.46461,1.14106,0.49803,1.15506,0.00868,0.00868,0.00868
22,3204.56,1.09328,0.542,1.09992,0.96173,0.62994,0.66069,0.4582,1.14427,0.49166,1.16333,0.008614,0.008614,0.008614
23,3380.3,1.08049,0.53926,1.09408,0.95981,0.62929,0.6587,0.45848,1.14742,0.49167,1.14482,0.008548,0.008548,0.008548
24,3542.54,1.07879,0.53557,1.08438,0.96704,0.62317,0.66137,0.45996,1.14983,0.49609,1.13764,0.008482,0.008482,0.008482
25,3684.65,1.0743,0.52682,1.08669,0.96686,0.62775,0.65762,0.46397,1.13198,0.48938,1.14702,0.008416,0.008416,0.008416
26,3853.21,1.06825,0.52327,1.07681,0.96464,0.62666,0.66138,0.46249,1.14203,0.48816,1.13562,0.00835,0.00835,0.00835
27,4003.62,1.06735,0.52671,1.08188,0.6971,0.64038,0.66214,0.46177,1.15282,0.49075,1.14861,0.008284,0.008284,0.008284
28,4162.03,1.0583,0.5185,1.07654,0.62252,0.67377,0.66914,0.46982,1.13848,0.48079,1.14632,0.008218,0.008218,0.008218
29,4330.95,1.05392,0.51474,1.06888,0.62856,0.64541,0.66109,0.46268,1.1395,0.48483,1.15504,0.008152,0.008152,0.008152
30,4497.31,1.04423,0.50624,1.07607,0.64018,0.64313,0.66167,0.46737,1.13141,0.47772,1.15707,0.008086,0.008086,0.008086
31,4636.19,1.03746,0.50638,1.07602,0.6245,0.6529,0.66401,0.468,1.14675,0.47588,1.15474,0.00802,0.00802,0.00802
32,4794.23,1.03225,0.49938,1.0735,0.62884,0.6444,0.66105,0.46143,1.1506,0.48222,1.1689,0.007954,0.007954,0.007954
33,4945.29,1.0344,0.49437,1.07314,0.62353,0.67059,0.66138,0.46289,1.14298,0.48123,1.16816,0.007888,0.007888,0.007888
34,5104.63,1.03113,0.49658,1.06303,0.62957,0.6283,0.65992,0.46213,1.14067,0.48134,1.14846,0.007822,0.007822,0.007822
35,5260.21,1.01909,0.48551,1.05792,0.62003,0.67183,0.6642,0.4697,1.13676,0.47723,1.15121,0.007756,0.007756,0.007756
36,5433.89,1.01768,0.48571,1.05704,0.62298,0.66795,0.66306,0.46374,1.1416,0.47732,1.13349,0.00769,0.00769,0.00769
37,5577.87,1.01003,0.47761,1.03846,0.62976,0.67905,0.663,0.46486,1.14365,0.48101,1.15168,0.007624,0.007624,0.007624
38,5739.64,1.0129,0.47957,1.05993,0.62987,0.63083,0.6625,0.46581,1.1384,0.47386,1.15938,0.007558,0.007558,0.007558
39,5881.68,0.99369,0.47094,1.0539,0.63683,0.62539,0.66109,0.46532,1.14368,0.46993,1.15067,0.007492,0.007492,0.007492
40,6064.95,0.98957,0.4662,1.04722,0.68526,0.6362,0.66173,0.46385,1.13891,0.47173,1.15121,0.007426,0.007426,0.007426
41,6206.52,0.98964,0.4629,1.03684,0.63291,0.64399,0.66083,0.46736,1.13544,0.46565,1.14365,0.00736,0.00736,0.00736
42,6371.85,0.97874,0.45758,1.03633,0.62383,0.66955,0.66248,0.46758,1.13546,0.46762,1.15131,0.007294,0.007294,0.007294
43,6537.03,0.96816,0.45141,1.02536,0.64723,0.65623,0.66127,0.46576,1.14898,0.47041,1.14175,0.007228,0.007228,0.007228
