epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.55156,3.00381,4.26357,1.14269,0.56353,0.13894,0.16975,0.02905,3.10164,3.00055,1.02737,0.00024293,0.00024293,0.00024293
2,17.8931,2.85717,2.19117,0.99855,0.64151,0.18719,0.26887,0.08216,2.9057,2.19237,0.98658,0.000496849,0.000496849,0.000496849
3,26.2473,2.70157,1.9112,0.94483,0.34849,0.27641,0.23098,0.06776,3.33116,2.07873,1.0496,0.000747373,0.000747373,0.000747373
4,34.4028,2.61214,1.73301,0.93588,0.60705,0.45927,0.45362,0.19037,2.45544,1.6136,0.92472,0.000994501,0.000994501,0.000994501
5,43.8896,2.73243,1.69626,0.93197,0.60654,0.40131,0.41144,0.19522,2.63995,1.59201,0.94739,0.00123823,0.00123823,0.00123823
6,53.1417,2.58701,1.6431,0.91798,0.74411,0.42987,0.47477,0.19932,2.58456,1.50416,0.9532,0.00138184,0.00138184,0.00138184
7,61.6515,2.52573,1.62181,0.91429,0.71839,0.49016,0.46422,0.16688,2.60882,1.64945,0.94821,0.00137241,0.00137241,0.00137241
8,69.7649,2.50385,1.58972,0.89791,0.72255,0.4514,0.50052,0.15805,2.55606,1.53004,0.9413,0.00136298,0.00136298,0.00136298
9,78.4686,2.43931,1.39868,0.90944,0.6817,0.46331,0.53971,0.23372,2.56218,1.42074,0.94202,0.00135355,0.00135355,0.00135355
10,87.5152,2.32724,1.37163,0.90147,0.75389,0.54065,0.61149,0.24821,2.34586,1.37371,0.92181,0.00134412,0.00134412,0.00134412
11,95.4587,2.43539,1.36945,0.89164,0.77418,0.49784,0.57933,0.20993,2.46822,1.42894,0.93512,0.00133469,0.00133469,0.00133469
12,104.089,2.45988,1.41309,0.89789,0.81518,0.49558,0.57905,0.25453,2.3602,1.265,0.91828,0.00132525,0.00132525,0.00132525
13,112.435,2.38668,1.30637,0.89157,0.85688,0.57085,0.61246,0.21859,2.36709,1.25004,0.92047,0.00131582,0.00131582,0.00131582
14,120.463,2.29604,1.31392,0.89485,0.86984,0.56727,0.61196,0.24823,2.30593,1.22418,0.91568,0.00130639,0.00130639,0.00130639
15,128.343,2.39863,1.27833,0.90158,0.84003,0.55046,0.6166,0.25959,2.31887,1.21412,0.91221,0.00129696,0.00129696,0.00129696
16,136.879,2.34076,1.3276,0.88285,0.83786,0.54188,0.59369,0.2422,2.40671,1.23807,0.91627,0.00128753,0.00128753,0.00128753
17,144.757,2.33065,1.2875,0.89099,0.8027,0.51312,0.56566,0.27193,2.3715,1.22967,0.91802,0.0012781,0.0012781,0.0012781
18,152.812,2.31055,1.22882,0.90129,0.80231,0.62656,0.65066,0.25411,2.43555,1.19136,0.92518,0.00126867,0.00126867,0.00126867
19,160.837,2.29773,1.2039,0.87702,0.83328,0.65981,0.67932,0.27395,2.29191,1.17643,0.90964,0.00125923,0.00125923,0.00125923
20,168.954,2.24864,1.18168,0.88587,0.79382,0.60153,0.65217,0.27843,2.33132,1.14706,0.91442,0.0012498,0.0012498,0.0012498
21,177.044,2.24523,1.16585,0.88178,0.85684,0.67689,0.7053,0.29109,2.34515,1.09729,0.91311,0.00124037,0.00124037,0.00124037
22,185.206,2.20663,1.16247,0.88524,0.76481,0.67531,0.69985,0.32037,2.22012,1.04917,0.90064,0.00123094,0.00123094,0.00123094
23,194.327,2.21877,1.1726,0.86749,0.82828,0.66736,0.71478,0.29833,2.24585,1.11734,0.91202,0.00122151,0.00122151,0.00122151
24,202.893,2.23058,1.13003,0.88355,0.89148,0.65581,0.71748,0.33256,2.21168,1.11826,0.89981,0.00121208,0.00121208,0.00121208
25,212.072,2.15523,1.11278,0.86691,0.77954,0.67346,0.70754,0.34378,2.18795,1.08815,0.89399,0.00120265,0.00120265,0.00120265
26,220.108,2.12407,1.14603,0.87074,0.86432,0.66369,0.71636,0.34617,2.1267,1.10719,0.88692,0.00119322,0.00119322,0.00119322
27,229.003,2.08613,1.06589,0.87569,0.83368,0.6446,0.69467,0.32647,2.19292,1.12791,0.90082,0.00118378,0.00118378,0.00118378
28,237.325,2.11283,1.1203,0.86131,0.85509,0.60197,0.71401,0.31277,2.15763,1.04138,0.89814,0.00117435,0.00117435,0.00117435
29,245.85,2.10713,1.07329,0.86653,0.86459,0.56821,0.69293,0.30379,2.17507,1.08816,0.89662,0.00116492,0.00116492,0.00116492
30,253.702,2.18147,1.08252,0.86357,0.83631,0.58564,0.67204,0.28385,2.30532,1.12633,0.90194,0.00115549,0.00115549,0.00115549
31,261.451,2.08395,1.03707,0.8615,0.80136,0.67171,0.70819,0.31682,2.24916,1.07924,0.89912,0.00114606,0.00114606,0.00114606
32,269.135,2.11035,1.03177,0.87213,0.83012,0.65236,0.72858,0.31744,2.22688,1.11852,0.89888,0.00113663,0.00113663,0.00113663
33,277.039,2.01456,1.0465,0.84782,0.88559,0.67557,0.7385,0.34906,2.14154,1.01049,0.89691,0.0011272,0.0011272,0.0011272
34,284.968,2.04209,1.08139,0.85365,0.83412,0.69857,0.7413,0.3483,2.09429,0.97866,0.88826,0.00111776,0.00111776,0.00111776
35,292.743,2.07506,1.05176,0.85841,0.85795,0.62658,0.69426,0.33846,2.14094,1.03656,0.89104,0.00110833,0.00110833,0.00110833
