epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.00744,3.29915,4.74003,1.22916,0.25167,0.27224,0.19389,0.08083,2.95524,2.46309,0.9832,0.00020006,0.00020006,0.00020006
2,14.5768,2.83367,2.0072,0.95679,0.38993,0.21147,0.2008,0.04577,2.7918,1.9373,0.92962,0.000412359,0.000412359,0.000412359
3,21.7777,2.8096,1.9388,0.95293,0.67002,0.20253,0.19169,0.0649,3.15805,2.14445,0.91275,0.000622535,0.000622535,0.000622535
4,28.6453,2.90752,1.99727,0.91772,0.64822,0.2453,0.26614,0.08822,3.07093,2.06221,0.9039,0.00083059,0.00083059,0.00083059
5,35.2319,2.79503,1.76814,0.92382,0.68602,0.14286,0.15106,0.04012,3.11489,2.02849,0.89818,0.00103652,0.00103652,0.00103652
6,42.5448,2.81471,1.76712,0.90179,0.47164,0.30952,0.30953,0.10613,2.96529,1.89678,0.89253,0.00124033,0.00124033,0.00124033
7,49.8046,2.59818,1.69212,0.89284,0.6962,0.24531,0.33909,0.1342,3.10596,1.93637,0.89649,0.00138656,0.00138656,0.00138656
8,56.6387,2.74865,1.69085,0.90944,0.72883,0.16165,0.22973,0.07502,2.8645,1.85111,0.8769,0.00137949,0.00137949,0.00137949
9,64.4148,2.72554,1.78822,0.87367,0.38709,0.24843,0.25456,0.07207,2.79053,1.69432,0.87591,0.00137241,0.00137241,0.00137241
10,71.7999,2.47044,1.50704,0.88531,0.60808,0.35279,0.36806,0.10447,2.76238,1.70614,0.87101,0.00136534,0.00136534,0.00136534
11,79.4908,2.5992,1.53436,0.87604,0.49261,0.33929,0.32196,0.09041,2.74073,1.67544,0.8638,0.00135826,0.00135826,0.00135826
12,86.8464,2.44635,1.51891,0.87783,0.75423,0.35251,0.37892,0.11282,2.68829,1.56023,0.87423,0.00135119,0.00135119,0.00135119
13,93.4782,2.5437,1.51931,0.87996,0.76753,0.36199,0.36541,0.11556,2.691,1.58896,0.86726,0.00134412,0.00134412,0.00134412
14,100.135,2.47663,1.46092,0.86009,0.65828,0.3396,0.37182,0.12234,2.74558,1.61216,0.86947,0.00133704,0.00133704,0.00133704
15,106.79,2.44378,1.42312,0.87295,0.73486,0.33851,0.36098,0.12797,2.66571,1.6365,0.86323,0.00132997,0.00132997,0.00132997
16,114.243,2.53957,1.52671,0.85253,0.56967,0.35981,0.33643,0.11705,2.83602,1.63352,0.86622,0.0013229,0.0013229,0.0013229
17,121.12,2.49519,1.38913,0.86158,0.62934,0.3396,0.33755,0.12348,2.75809,1.59896,0.86512,0.00131582,0.00131582,0.00131582
18,128.125,2.49095,1.30745,0.86117,0.69647,0.33674,0.36047,0.1267,2.67276,1.57867,0.8614,0.00130875,0.00130875,0.00130875
19,134.947,2.44843,1.36612,0.85995,0.78616,0.35684,0.40795,0.14635,2.72931,1.5008,0.86459,0.00130168,0.00130168,0.00130168
20,146.197,2.39155,1.27109,0.86396,0.63163,0.43806,0.43452,0.12386,2.70003,1.56671,0.8651,0.0012946,0.0012946,0.0012946
21,155.793,2.36561,1.31004,0.85549,0.66757,0.36613,0.4169,0.13909,2.76437,1.55948,0.86655,0.00128753,0.00128753,0.00128753
22,162.907,2.31091,1.29488,0.86089,0.75028,0.41541,0.45944,0.15354,2.65854,1.61775,0.8688,0.00128046,0.00128046,0.00128046
